2024-09-28T22:13:06.883+0100 INFO Forecast for city 1110600PT | 2024-09-28 | Min Temperature: 12,4 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-29 | Min Temperature: 13,5 | Max Temperature: 26,9 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-09-30 | Min Temperature: 15,8 | Max Temperature: 28,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 17,4 | Max Temperature: 26,5 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 19,5 | Max Temperature: 25,5 | Precipitation prob: 45,0 | Wind Direction: NW
2024-09-28T22:13:07.670+0100 INFO Forecast for city 1040200PT | 2024-09-28 | Min Temperature:  4,2 | Max Temperature: 18,5 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  7,0 | Max Temperature: 22,3 | Precipitation prob:  0,0 | Wind Direction: WPT | 2024-09-30 | Min Temperature:  8,0 | Max Temperature: 25,1 | Precipitation prob:  0,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 10,4 | Max Temperature: 21,8 | Precipitation prob: 16,0 | Wind Direction: WPT | 2024-10-02 | Min Temperature: 14,4 | Max Temperature: 20,4 | Precipitation prob: 92,0 | Wind Direction: SW
2024-09-28T22:13:08.660+0100 INFO Forecast for city 3460200PT | 2024-09-28 | Min Temperature: 20,3 | Max Temperature: 27,0 | Precipitation prob: 98,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 20,0 | Max Temperature: 26,9 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 21,3 | Max Temperature: 27,8 | Precipitation prob: 94,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 21,6 | Max Temperature: 27,8 | Precipitation prob: 53,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 21,7 | Max Temperature: 27,9 | Precipitation prob: 45,0 | Wind Direction: SW
2024-09-28T22:13:09.659+0100 INFO Forecast for city 1160900PT | 2024-09-28 | Min Temperature:  8,7 | Max Temperature: 19,9 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,7 | Max Temperature: 20,3 | Precipitation prob:  6,0 | Wind Direction: EPT | 2024-09-30 | Min Temperature: 12,7 | Max Temperature: 21,2 | Precipitation prob: 18,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 14,2 | Max Temperature: 19,8 | Precipitation prob: 100,0 | Wind Direction: SEPT | 2024-10-02 | Min Temperature: 14,8 | Max Temperature: 20,4 | Precipitation prob: 98,0 | Wind Direction: SW
2024-09-28T22:13:10.658+0100 INFO Forecast for city 1141600PT | 2024-09-28 | Min Temperature: 10,5 | Max Temperature: 25,1 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 10,6 | Max Temperature: 28,2 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature: 10,3 | Max Temperature: 30,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 16,0 | Max Temperature: 27,7 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 18,9 | Max Temperature: 27,4 | Precipitation prob: 50,0 | Wind Direction: W
2024-09-28T22:13:11.663+0100 INFO Forecast for city 1121400PT | 2024-09-28 | Min Temperature: 10,3 | Max Temperature: 22,0 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature: 14,2 | Max Temperature: 25,2 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-30 | Min Temperature: 15,6 | Max Temperature: 27,3 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 15,2 | Max Temperature: 25,6 | Precipitation prob:  2,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 17,3 | Max Temperature: 24,8 | Precipitation prob: 48,0 | Wind Direction: NW
2024-09-28T22:13:12.660+0100 INFO Forecast for city 1171400PT | 2024-09-28 | Min Temperature:  6,7 | Max Temperature: 19,4 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,5 | Max Temperature: 23,0 | Precipitation prob:  0,0 | Wind Direction: WPT | 2024-09-30 | Min Temperature: 11,0 | Max Temperature: 24,6 | Precipitation prob:  0,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 12,4 | Max Temperature: 21,8 | Precipitation prob: 61,0 | Wind Direction: WPT | 2024-10-02 | Min Temperature: 16,4 | Max Temperature: 20,7 | Precipitation prob: 95,0 | Wind Direction: W
2024-09-28T22:13:13.658+0100 INFO Forecast for city 1100900PT | 2024-09-28 | Min Temperature:  8,4 | Max Temperature: 22,8 | Precipitation prob:  0,0 | Wind Direction: NEPT | 2024-09-29 | Min Temperature:  8,4 | Max Temperature: 24,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-09-30 | Min Temperature:  9,3 | Max Temperature: 24,5 | Precipitation prob:  0,0 | Wind Direction: NPT | 2024-10-01 | Min Temperature: 15,6 | Max Temperature: 23,8 | Precipitation prob: 26,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 17,6 | Max Temperature: 22,8 | Precipitation prob: 90,0 | Wind Direction: W
2024-09-28T22:13:14.660+0100 INFO Forecast for city 1030300PT | 2024-09-28 | Min Temperature:  7,3 | Max Temperature: 22,6 | Precipitation prob:  0,0 | Wind Direction: EPT | 2024-09-29 | Min Temperature:  9,0 | Max Temperature: 23,5 | Precipitation prob:  0,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 12,4 | Max Temperature: 26,0 | Precipitation prob:  3,0 | Wind Direction: WPT | 2024-10-01 | Min Temperature: 15,5 | Max Temperature: 21,1 | Precipitation prob: 93,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 17,6 | Max Temperature: 21,4 | Precipitation prob: 98,0 | Wind Direction: SW
2024-09-28T22:13:15.662+0100 INFO Forecast for city 3420300PT | 2024-09-28 | Min Temperature: 21,8 | Max Temperature: 25,1 | Precipitation prob: 92,0 | Wind Direction: SWPT | 2024-09-29 | Min Temperature: 21,5 | Max Temperature: 25,5 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-09-30 | Min Temperature: 21,6 | Max Temperature: 25,8 | Precipitation prob: 100,0 | Wind Direction: SWPT | 2024-10-01 | Min Temperature: 22,7 | Max Temperature: 26,1 | Precipitation prob: 70,0 | Wind Direction: SWPT | 2024-10-02 | Min Temperature: 22,7 | Max Temperature: 26,1 | Precipitation prob: 56,0 | Wind Direction: SW
2024-09-28T22:13:16.656+0100 INFO Forecast for city 1090700PT | 2024-09-28 | Min Temperature:  4,7 | Max Temperature: 16,1 | Precipitation prob:  0,0 | Wind Direction: SPT | 2024-09-29 | Min Temperature: 10,5 | Max Temperature: 19,3 | Precipitation prob:  0,0 | Wind Direction: SPT | 2024-09-30 | Min Temperature: 11,4 | Max Temperature: 22,1 | Precipitation prob:  0,0 | Wind Direction: NWPT | 2024-10-01 | Min Temperature: 10,5 | Max Temperature: 19,5 | Precipitation prob:  6,0 | Wind Direction: NWPT | 2024-10-02 | Min Temperature: 13,2 | Max Temperature: 19,6 | Precipitation prob: 66,0 | Wind Direction: W
